Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,
LVA,LVA vs. WAS,06/01/2018,W,40,85,25,60,41.7,2,14,14.3,33,40,82.5,12,26,38,18,13,5,7,24,12,
PHO,PHO @ MIN,06/01/2018,W,40,95,35,65,53.8,10,24,41.7,15,20,75.0,6,29,35,22,12,7,5,19,10,
SEA,SEA vs. LVA,05/31/2018,W,40,101,37,69,53.6,17,26,65.4,10,11,90.9,9,27,36,27,15,6,5,23,27,
LVA,LVA @ SEA,05/31/2018,L,40,74,28,63,44.4,1,9,11.1,17,23,73.9,7,20,27,14,13,6,4,15,-27,
WAS,WAS @ PHO,05/30/2018,W,40,103,35,65,53.8,11,17,64.7,22,28,78.6,8,23,31,18,16,8,1,23,8,
PHO,PHO vs. WAS,05/30/2018,L,40,95,37,72,51.4,8,25,32.0,13,13,100,6,20,26,24,13,8,4,22,-8,
NYL,NYL vs. DAL,05/29/2018,W,40,94,36,69,52.2,9,22,40.9,13,16,81.3,7,25,32,22,14,11,3,21,5,
SEA,SEA vs. WAS,05/29/2018,W,40,81,33,71,46.5,7,21,33.3,8,10,80.0,9,26,35,20,16,6,2,16,4,
ATL,ATL vs. MIN,05/29/2018,W,40,76,28,60,46.7,4,17,23.5,16,20,80.0,3,24,27,17,13,13,5,18,2,
MIN,MIN @ ATL,05/29/2018,L,40,74,29,68,42.6,7,15,46.7,9,11,81.8,8,30,38,22,17,6,1,15,-2,
WAS,WAS @ SEA,05/29/2018,L,40,77,29,67,43.3,8,17,47.1,11,15,73.3,9,22,31,12,15,4,1,20,-4,
DAL,DAL @ NYL,05/29/2018,L,40,89,28,59,47.5,13,31,41.9,20,28,71.4,6,26,32,18,21,8,4,20,-5,
MIN,MIN @ WAS,05/27/2018,L,40,78,31,62,50.0,6,21,28.6,10,13,76.9,5,21,26,22,13,9,2,15,-12,
WAS,WAS vs. MIN,05/27/2018,W,40,90,35,72,48.6,15,35,42.9,5,9,55.6,14,22,36,19,11,7,3,21,12,
LAS,LAS vs. PHO,05/27/2018,W,40,80,26,58,44.8,7,18,38.9,21,30,70.0,9,22,31,17,13,8,1,18,8,
SEA,SEA @ LVA,05/27/2018,W,40,105,36,69,52.2,12,26,46.2,21,24,87.5,6,26,32,25,13,9,4,23,7,
PHO,PHO @ LAS,05/27/2018,L,40,72,26,56,46.4,4,16,25.0,16,21,76.2,8,18,26,19,19,5,3,30,-8,
LVA,LVA vs. SEA,05/27/2018,L,40,98,36,71,50.7,5,10,50.0,21,30,70.0,10,24,34,20,16,6,0,18,-7,
IND,IND @ CON,05/26/2018,L,40,77,28,70,40.0,7,20,35.0,14,19,73.7,12,25,37,18,18,7,5,23,-9,
CON,CON vs. IND,05/26/2018,W,40,86,32,66,48.5,3,14,21.4,19,26,73.1,4,25,29,20,13,6,3,20,9,
DAL,DAL @ ATL,05/26/2018,W,40,78,22,58,37.9,6,21,28.6,28,36,77.8,8,39,47,14,24,7,12,21,8,
ATL,ATL vs. DAL,05/26/2018,L,40,70,24,85,28.2,6,21,28.6,16,22,72.7,16,19,35,13,12,13,9,26,-8,
SEA,SEA vs. CHI,05/25/2018,W,45,95,34,81,42.0,5,24,20.8,22,27,81.5,14,20,34,21,8,8,5,17,4,
CHI,CHI @ SEA,05/25/2018,L,45,91,36,73,49.3,7,17,41.2,12,13,92.3,7,32,39,21,18,5,4,19,-4,
MIN,MIN @ NYL,05/25/2018,W,40,78,27,69,39.1,4,18,22.2,20,25,80.0,10,34,44,13,11,4,2,17,6,
NYL,NYL vs. MIN,05/25/2018,L,40,72,27,72,37.5,5,24,20.8,13,18,72.2,11,23,34,11,6,4,2,20,-6,
WAS,WAS @ IND,05/24/2018,W,40,93,33,65,50.8,8,20,40.0,19,24,79.2,9,26,35,13,13,4,1,22,9,
LAS,LAS @ CON,05/24/2018,L,40,94,35,64,54.7,8,14,57.1,16,19,84.2,5,9,14,23,13,8,2,16,-8,
IND,IND vs. WAS,05/24/2018,L,40,84,29,60,48.3,9,24,37.5,17,21,81.0,1,22,23,20,12,9,3,22,-9,
CON,CON vs. LAS,05/24/2018,W,40,102,40,64,62.5,8,14,57.1,14,16,87.5,9,20,29,26,21,6,3,22,8,
DAL,DAL @ MIN,05/23/2018,L,40,68,28,81,34.6,9,29,31.0,3,7,42.9,6,27,33,19,12,3,8,21,-8,
PHO,PHO vs. SEA,05/23/2018,L,40,71,28,64,43.8,5,16,31.3,10,11,90.9,2,21,23,17,13,5,5,18,-16,
SEA,SEA @ PHO,05/23/2018,W,40,87,29,56,51.8,7,18,38.9,22,23,95.7,5,28,33,14,15,7,3,20,16,
MIN,MIN vs. DAL,05/23/2018,W,40,76,27,73,37.0,3,11,27.3,19,28,67.9,14,36,50,15,15,7,4,11,8,
ATL,ATL @ CHI,05/23/2018,W,40,81,33,71,46.5,6,18,33.3,9,13,69.2,12,29,41,20,17,8,6,16,18,
CHI,CHI vs. ATL,05/23/2018,L,40,63,25,68,36.8,3,14,21.4,10,12,83.3,8,20,28,20,15,9,5,14,-18,
LAS,LAS @ IND,05/22/2018,W,40,87,34,67,50.7,6,17,35.3,13,15,86.7,5,29,34,21,10,7,2,21,17,
WAS,WAS vs. LVA,05/22/2018,W,40,75,28,67,41.8,8,31,25.8,11,13,84.6,7,30,37,12,21,8,4,22,5,
IND,IND vs. LAS,05/22/2018,L,40,70,24,62,38.7,6,19,31.6,16,16,100,5,27,32,11,15,2,3,17,-17,
LVA,LVA @ WAS,05/22/2018,L,40,70,28,72,38.9,1,9,11.1,13,22,59.1,8,28,36,16,17,12,5,14,-5,
DAL,DAL vs. ATL,05/20/2018,W,40,101,31,64,48.4,6,17,35.3,33,42,78.6,12,28,40,14,12,5,10,22,23,
CON,CON vs. LVA,05/20/2018,W,40,101,37,79,46.8,11,21,52.4,16,22,72.7,11,31,42,27,9,14,6,23,36,
LVA,LVA @ CON,05/20/2018,L,40,65,18,68,26.5,1,7,14.3,28,34,82.4,12,29,41,8,20,6,3,21,-36,
SEA,SEA vs. PHO,05/20/2018,L,40,82,25,66,37.9,10,27,37.0,22,25,88.0,13,24,37,15,16,7,7,25,-5,
ATL,ATL @ DAL,05/20/2018,L,40,78,26,73,35.6,5,18,27.8,21,28,75.0,14,21,35,18,14,9,4,32,-23,
WAS,WAS vs. IND,05/20/2018,W,40,82,28,67,41.8,11,25,44.0,15,16,93.8,5,22,27,18,10,7,2,17,7,
NYL,NYL @ CHI,05/20/2018,L,40,76,26,72,36.1,9,25,36.0,15,19,78.9,8,22,30,18,8,10,4,18,-4,
PHO,PHO @ SEA,05/20/2018,W,40,87,28,60,46.7,6,15,40.0,25,28,89.3,5,23,28,20,13,6,5,19,5,
CHI,CHI vs. NYL,05/20/2018,W,40,80,30,63,47.6,6,13,46.2,14,18,77.8,9,34,43,20,16,5,6,19,4,
IND,IND @ WAS,05/20/2018,L,40,75,27,62,43.5,5,15,33.3,16,25,64.0,10,29,39,13,16,6,2,17,-7,
LAS,LAS @ MIN,05/20/2018,W,40,77,29,72,40.3,3,18,16.7,16,20,80.0,5,20,25,13,7,14,1,20,1,
MIN,MIN vs. LAS,05/20/2018,L,40,76,27,55,49.1,3,7,42.9,19,22,86.4,6,35,41,19,24,4,5,15,-1,
IND,IND vs. CHI,05/19/2018,L,40,64,28,76,36.8,3,15,20.0,5,8,62.5,9,23,32,16,7,7,3,15,-18,
CHI,CHI @ IND,05/19/2018,W,40,82,31,63,49.2,5,15,33.3,15,20,75.0,9,35,44,19,12,3,1,11,18,
DAL,DAL @ PHO,05/18/2018,L,40,78,29,80,36.3,4,20,20.0,16,18,88.9,11,28,39,16,12,2,4,24,-8,
PHO,PHO vs. DAL,05/18/2018,W,40,86,26,64,40.6,10,24,41.7,24,27,88.9,3,29,32,16,10,5,10,20,8,
LAS,LAS @ MIN,05/20/2018,W,40,77,29,72,40.3,3,18,16.7,16,20,80.0,5,20,25,13,7,14,1,20,1,
MIN,MIN vs. LAS,05/20/2018,L,40,76,27,55,49.1,3,7,42.9,19,22,86.4,6,35,41,19,24,4,5,15,-1,
IND,IND vs. CHI,05/19/2018,L,40,64,28,76,36.8,3,15,20.0,5,8,62.5,9,23,32,16,7,7,3,15,-18,
CHI,CHI @ IND,05/19/2018,W,40,82,31,63,49.2,5,15,33.3,15,20,75.0,9,35,44,19,12,3,1,11,18,
DAL,DAL @ PHO,05/18/2018,L,40,78,29,80,36.3,4,20,20.0,16,18,88.9,11,28,39,16,12,2,4,24,-8,
PHO,PHO vs. DAL,05/18/2018,W,40,86,26,64,40.6,10,24,41.7,24,27,88.9,3,29,32,16,10,5,10,20,8,
